SERIES;PRODUCCIÓN DE TURISMOS;EXPORTACIONES DE TURISMOS;MATRICULACIONES DE TURISMOS.  TOTAL
199907;193876,0000000000000000;158348,0000000000000000;170422,0000000000000000
199908;46273,0000000000000000;44958,0000000000000000;89974,0000000000000000
199909;208403,0000000000000000;164432,0000000000000000;97462,0000000000000000
199910;191853,0000000000000000;151691,0000000000000000;121141,0000000000000000
199911;205719,0000000000000000;170350,0000000000000000;124066,0000000000000000
199912;155823,0000000000000000;129005,0000000000000000;130513,0000000000000000
200001;178851,0000000000000000;144351,0000000000000000;102859,0000000000000000
200002;217794,0000000000000000;171375,0000000000000000;129416,0000000000000000
200003;240481,0000000000000000;189238,0000000000000000;155433,0000000000000000
200004;188108,0000000000000000;152279,0000000000000000;130722,0000000000000000
200005;244495,0000000000000000;192912,0000000000000000;134991,0000000000000000
200006;238399,0000000000000000;196867,0000000000000000;152984,0000000000000000
200007;202417,0000000000000000;171314,0000000000000000;158375,0000000000000000
200008;69693,0000000000000000;64862,0000000000000000;90741,0000000000000000
200009;195391,0000000000000000;165723,0000000000000000;91538,0000000000000000
200010;206943,0000000000000000;180290,0000000000000000;106697,0000000000000000
200011;231393,0000000000000000;196827,0000000000000000;109140,0000000000000000
200012;152369,0000000000000000;125894,0000000000000000;102607,0000000000000000
200101;226392,0000000000000000;183285,0000000000000000;98854,0000000000000000
200102;216534,0000000000000000;179063,0000000000000000;123550,0000000000000000
200103;226739,0000000000000000;189722,0000000000000000;156510,0000000000000000
200104;176004,0000000000000000;137070,0000000000000000;127732,0000000000000000
200105;230731,0000000000000000;184523,0000000000000000;141471,0000000000000000
200106;220433,0000000000000000;183320,0000000000000000;157402,0000000000000000
200107;185062,0000000000000000;149122,0000000000000000;168514,0000000000000000
200108;86241,0000000000000000;70289,0000000000000000;93625,0000000000000000
200109;173730,0000000000000000;138322,0000000000000000;88246,0000000000000000
200110;178139,0000000000000000;141644,0000000000000000;118303,0000000000000000
200111;178697,0000000000000000;143834,0000000000000000;113488,0000000000000000
200112;111730,0000000000000000;91073,0000000000000000;111116,0000000000000000
200201;190875,0000000000000000;153712,0000000000000000;100564,0000000000000000
200202;198061,0000000000000000;159576,0000000000000000;110766,0000000000000000
200203;178945,0000000000000000;141598,0000000000000000;119562,0000000000000000
200204;204986,0000000000000000;165952,0000000000000000;119320,0000000000000000
200205;226953,0000000000000000;176024,0000000000000000;134665,0000000000000000
200206;209366,0000000000000000;164533,0000000000000000;131451,0000000000000000
200207;202667,0000000000000000;162436,0000000000000000;158181,0000000000000000
200208;79080,0000000000000000;62837,0000000000000000;85148,0000000000000000
200209;207805,0000000000000000;169929,0000000000000000;86657,0000000000000000
200210;210890,0000000000000000;167544,0000000000000000;118913,0000000000000000
200211;214149,0000000000000000;181288,0000000000000000;104099,0000000000000000
200212;143125,0000000000000000;118246,0000000000000000;120282,0000000000000000
200301;200379,0000000000000000;161283,0000000000000000;98424,0000000000000000
200302;207075,0000000000000000;165044,0000000000000000;105769,0000000000000000
200303;219423,0000000000000000;179214,0000000000000000;129118,0000000000000000
200304;213309,0000000000000000;176093,0000000000000000;129003,0000000000000000
200305;224765,0000000000000000;180152,0000000000000000;128330,0000000000000000
200306;226446,0000000000000000;185640,0000000000000000;147037,0000000000000000
200307;201458,0000000000000000;166949,0000000000000000;173071,0000000000000000
200308;66556,0000000000000000;55682,0000000000000000;90285,0000000000000000
200309;223356,0000000000000000;187417,0000000000000000;101615,0000000000000000
200310;247754,0000000000000000;202828,0000000000000000;132595,0000000000000000
200311;217998,0000000000000000;172421,0000000000000000;120524,0000000000000000
200312;150855,0000000000000000;128348,0000000000000000;136795,0000000000000000
200401;189205,0000000000000000;149516,0000000000000000;108817,0000000000000000
200402;211018,0000000000000000;163084,0000000000000000;130625,0000000000000000
200403;237334,0000000000000000;186273,0000000000000000;166062,0000000000000000
200404;202579,0000000000000000;158763,0000000000000000;136515,0000000000000000
200405;231852,0000000000000000;187382,0000000000000000;142295,0000000000000000
200406;250389,0000000000000000;205978,0000000000000000;170875,0000000000000000
200407;211453,0000000000000000;179742,0000000000000000;181139,0000000000000000
200408;68040,0000000000000000;62430,0000000000000000;98512,0000000000000000
200409;240476,0000000000000000;199703,0000000000000000;108920,0000000000000000
200410;214039,0000000000000000;176627,0000000000000000;130883,0000000000000000
200411;222854,0000000000000000;193823,0000000000000000;136870,0000000000000000
200412;123262,0000000000000000;105009,0000000000000000;142276,0000000000000000
200501;165241,0000000000000000;128036,0000000000000000;115394,0000000000000000
200502;189099,0000000000000000;150131,0000000000000000;130875,0000000000000000
200503;186205,0000000000000000;151097,0000000000000000;162060,0000000000000000
200504;204880,0000000000000000;169259,0000000000000000;146985,0000000000000000
200505;210205,0000000000000000;165389,0000000000000000;153558,0000000000000000
200506;216885,0000000000000000;174659,0000000000000000;173663,0000000000000000
200507;170185,0000000000000000;139092,0000000000000000;175896,0000000000000000
200508;60175,0000000000000000;53165,0000000000000000;107723,0000000000000000
200509;208161,0000000000000000;172009,0000000000000000;114825,0000000000000000
200510;179755,0000000000000000;148409,0000000000000000;119666,0000000000000000
200511;189843,0000000000000000;152566,0000000000000000;132625,0000000000000000
200512;117534,0000000000000000;101622,0000000000000000;143423,0000000000000000
200601;171589,0000000000000000;136815,0000000000000000;115493,0000000000000000
